confidence_threshold,overall_accuracy,committed_accuracy,coverage,unknown_percentage,other_capture_rate,other_samples_count,other_predicted_as_unknown,total_samples,max_probabilities,true_labels,predicted_labels,experiment,mode,eval_accuracy,excluded_classes,num_training_classes
0.5,0.796875,0.796875,100.0,0.0,0.0,0,0,128,"[0.6495137  0.996693   0.9995239  0.969271   0.99765044 0.999156
 0.9782322  0.99737525 0.99940765 0.9970797  0.99914265 0.99957997
 0.9987067  0.9946813  0.99984896 0.9314281  0.99913603 0.9772908
 0.99994636 0.5761583  0.9998011  0.99995077 0.99994576 0.99993575
 0.99951935 0.8927962  0.9997197  0.86151505 0.9996376  0.99982363
 0.69901174 0.9997018  0.99963284 0.9997644  0.9998097  0.9997861
 0.9811551  0.99974734 0.9998294  0.9998117  0.9997702  0.9992354
 0.9997445  0.99930537 0.999785   0.99978596 0.9961463  0.9488493
 0.99928916 0.9322399  0.9998282  0.99933016 0.9980842  0.8240212
 0.99942327 0.9995864  0.99919885 0.80970156 0.9997733  0.95372397
 0.9996505  0.7270905  0.99786466 0.84078395 0.98717904 0.9828802
 0.999736   0.99800736 0.99985063 0.99565554 0.9998934  0.9996063
 0.9998253  0.9998821  0.91797614 0.99979585 0.73817897 0.9998067
 0.9217573  0.9998549  0.9810207  0.99902415 0.9999131  0.99990034
 0.9999044  0.9998118  0.99940085 0.60827935 0.99959165 0.99900776
 0.99944216 0.99950755 0.9971194  0.99983454 0.9993567  0.9992575
 0.99959725 0.9997718  0.9997682  0.99983716 0.9999019  0.9993518
 0.97183526 0.8344187  0.60024375 0.9976472  0.9971391  0.84624225
 0.99989796 0.6677214  0.9991924  0.99988604 0.99979454 0.9998306
 0.73722196 0.9985794  0.9998776  0.9993241  0.99972945 0.99967945
 0.9637081  0.9998617  0.9671225  0.9748843  0.99991846 0.5448307
 0.9998908  0.7842743 ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 3 2 3 3 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6]","[4, 2, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 1, 4, 1, 1, 1, 1, 1, 4, 1, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 2, 2, 2, 4, 4, 2, 2, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 5, 5, 2, 2, 2, 5, 5, 3, 2, 5, 2, 5, 5, 5, 5, 5, 5, 5, 2, 6, 6, 6, 6, 6, 6, 2]",with_other,tweet,0.796875,[],7
0.6,0.7890625,0.8015873015873016,98.4375,1.5625,0.0,0,0,128,"[0.6495137  0.996693   0.9995239  0.969271   0.99765044 0.999156
 0.9782322  0.99737525 0.99940765 0.9970797  0.99914265 0.99957997
 0.9987067  0.9946813  0.99984896 0.9314281  0.99913603 0.9772908
 0.99994636 0.5761583  0.9998011  0.99995077 0.99994576 0.99993575
 0.99951935 0.8927962  0.9997197  0.86151505 0.9996376  0.99982363
 0.69901174 0.9997018  0.99963284 0.9997644  0.9998097  0.9997861
 0.9811551  0.99974734 0.9998294  0.9998117  0.9997702  0.9992354
 0.9997445  0.99930537 0.999785   0.99978596 0.9961463  0.9488493
 0.99928916 0.9322399  0.9998282  0.99933016 0.9980842  0.8240212
 0.99942327 0.9995864  0.99919885 0.80970156 0.9997733  0.95372397
 0.9996505  0.7270905  0.99786466 0.84078395 0.98717904 0.9828802
 0.999736   0.99800736 0.99985063 0.99565554 0.9998934  0.9996063
 0.9998253  0.9998821  0.91797614 0.99979585 0.73817897 0.9998067
 0.9217573  0.9998549  0.9810207  0.99902415 0.9999131  0.99990034
 0.9999044  0.9998118  0.99940085 0.60827935 0.99959165 0.99900776
 0.99944216 0.99950755 0.9971194  0.99983454 0.9993567  0.9992575
 0.99959725 0.9997718  0.9997682  0.99983716 0.9999019  0.9993518
 0.97183526 0.8344187  0.60024375 0.9976472  0.9971391  0.84624225
 0.99989796 0.6677214  0.9991924  0.99988604 0.99979454 0.9998306
 0.73722196 0.9985794  0.9998776  0.9993241  0.99972945 0.99967945
 0.9637081  0.9998617  0.9671225  0.9748843  0.99991846 0.5448307
 0.9998908  0.7842743 ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 3 2 3 3 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6]","[4, 2, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 1, 7, 1, 1, 1, 1, 1, 4, 1, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 2, 2, 2, 4, 4, 2, 2, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 5, 5, 2, 2, 2, 5, 5, 3, 2, 5, 2, 5, 5, 5, 5, 5, 5, 5, 2, 6, 6, 6, 6, 7, 6, 2]",with_other,tweet,0.796875,[],7
0.7,0.7734375,0.8181818181818182,94.53125,5.46875,0.0,0,0,128,"[0.6495137  0.996693   0.9995239  0.969271   0.99765044 0.999156
 0.9782322  0.99737525 0.99940765 0.9970797  0.99914265 0.99957997
 0.9987067  0.9946813  0.99984896 0.9314281  0.99913603 0.9772908
 0.99994636 0.5761583  0.9998011  0.99995077 0.99994576 0.99993575
 0.99951935 0.8927962  0.9997197  0.86151505 0.9996376  0.99982363
 0.69901174 0.9997018  0.99963284 0.9997644  0.9998097  0.9997861
 0.9811551  0.99974734 0.9998294  0.9998117  0.9997702  0.9992354
 0.9997445  0.99930537 0.999785   0.99978596 0.9961463  0.9488493
 0.99928916 0.9322399  0.9998282  0.99933016 0.9980842  0.8240212
 0.99942327 0.9995864  0.99919885 0.80970156 0.9997733  0.95372397
 0.9996505  0.7270905  0.99786466 0.84078395 0.98717904 0.9828802
 0.999736   0.99800736 0.99985063 0.99565554 0.9998934  0.9996063
 0.9998253  0.9998821  0.91797614 0.99979585 0.73817897 0.9998067
 0.9217573  0.9998549  0.9810207  0.99902415 0.9999131  0.99990034
 0.9999044  0.9998118  0.99940085 0.60827935 0.99959165 0.99900776
 0.99944216 0.99950755 0.9971194  0.99983454 0.9993567  0.9992575
 0.99959725 0.9997718  0.9997682  0.99983716 0.9999019  0.9993518
 0.97183526 0.8344187  0.60024375 0.9976472  0.9971391  0.84624225
 0.99989796 0.6677214  0.9991924  0.99988604 0.99979454 0.9998306
 0.73722196 0.9985794  0.9998776  0.9993241  0.99972945 0.99967945
 0.9637081  0.9998617  0.9671225  0.9748843  0.99991846 0.5448307
 0.9998908  0.7842743 ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 3 2 3 3 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6]","[7, 2, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 1, 7, 1, 1, 1, 1, 1, 4, 1, 2, 2, 2, 7, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 2, 2, 2, 4, 4, 2, 2, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 0, 7, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 5, 5, 7, 2, 2, 5, 5, 7, 2, 5, 2, 5, 5, 5, 5, 5, 5, 5, 2, 6, 6, 6, 6, 7, 6, 2]",with_other,tweet,0.796875,[],7
0.8,0.75,0.8205128205128205,91.40625,8.59375,0.0,0,0,128,"[0.6495137  0.996693   0.9995239  0.969271   0.99765044 0.999156
 0.9782322  0.99737525 0.99940765 0.9970797  0.99914265 0.99957997
 0.9987067  0.9946813  0.99984896 0.9314281  0.99913603 0.9772908
 0.99994636 0.5761583  0.9998011  0.99995077 0.99994576 0.99993575
 0.99951935 0.8927962  0.9997197  0.86151505 0.9996376  0.99982363
 0.69901174 0.9997018  0.99963284 0.9997644  0.9998097  0.9997861
 0.9811551  0.99974734 0.9998294  0.9998117  0.9997702  0.9992354
 0.9997445  0.99930537 0.999785   0.99978596 0.9961463  0.9488493
 0.99928916 0.9322399  0.9998282  0.99933016 0.9980842  0.8240212
 0.99942327 0.9995864  0.99919885 0.80970156 0.9997733  0.95372397
 0.9996505  0.7270905  0.99786466 0.84078395 0.98717904 0.9828802
 0.999736   0.99800736 0.99985063 0.99565554 0.9998934  0.9996063
 0.9998253  0.9998821  0.91797614 0.99979585 0.73817897 0.9998067
 0.9217573  0.9998549  0.9810207  0.99902415 0.9999131  0.99990034
 0.9999044  0.9998118  0.99940085 0.60827935 0.99959165 0.99900776
 0.99944216 0.99950755 0.9971194  0.99983454 0.9993567  0.9992575
 0.99959725 0.9997718  0.9997682  0.99983716 0.9999019  0.9993518
 0.97183526 0.8344187  0.60024375 0.9976472  0.9971391  0.84624225
 0.99989796 0.6677214  0.9991924  0.99988604 0.99979454 0.9998306
 0.73722196 0.9985794  0.9998776  0.9993241  0.99972945 0.99967945
 0.9637081  0.9998617  0.9671225  0.9748843  0.99991846 0.5448307
 0.9998908  0.7842743 ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 3 2 3 3 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6]","[7, 2, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 1, 7, 1, 1, 1, 1, 1, 4, 1, 2, 2, 2, 7, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 2, 2, 2, 7, 4, 2, 2, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 4, 2, 4, 4, 4, 4, 4, 4, 4, 0, 7, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 5, 5, 7, 2, 2, 5, 5, 7, 2, 5, 2, 5, 7, 5, 5, 5, 5, 5, 2, 6, 6, 6, 6, 7, 6, 7]",with_other,tweet,0.796875,[],7
0.85,0.71875,0.8214285714285714,87.5,12.5,0.0,0,0,128,"[0.6495137  0.996693   0.9995239  0.969271   0.99765044 0.999156
 0.9782322  0.99737525 0.99940765 0.9970797  0.99914265 0.99957997
 0.9987067  0.9946813  0.99984896 0.9314281  0.99913603 0.9772908
 0.99994636 0.5761583  0.9998011  0.99995077 0.99994576 0.99993575
 0.99951935 0.8927962  0.9997197  0.86151505 0.9996376  0.99982363
 0.69901174 0.9997018  0.99963284 0.9997644  0.9998097  0.9997861
 0.9811551  0.99974734 0.9998294  0.9998117  0.9997702  0.9992354
 0.9997445  0.99930537 0.999785   0.99978596 0.9961463  0.9488493
 0.99928916 0.9322399  0.9998282  0.99933016 0.9980842  0.8240212
 0.99942327 0.9995864  0.99919885 0.80970156 0.9997733  0.95372397
 0.9996505  0.7270905  0.99786466 0.84078395 0.98717904 0.9828802
 0.999736   0.99800736 0.99985063 0.99565554 0.9998934  0.9996063
 0.9998253  0.9998821  0.91797614 0.99979585 0.73817897 0.9998067
 0.9217573  0.9998549  0.9810207  0.99902415 0.9999131  0.99990034
 0.9999044  0.9998118  0.99940085 0.60827935 0.99959165 0.99900776
 0.99944216 0.99950755 0.9971194  0.99983454 0.9993567  0.9992575
 0.99959725 0.9997718  0.9997682  0.99983716 0.9999019  0.9993518
 0.97183526 0.8344187  0.60024375 0.9976472  0.9971391  0.84624225
 0.99989796 0.6677214  0.9991924  0.99988604 0.99979454 0.9998306
 0.73722196 0.9985794  0.9998776  0.9993241  0.99972945 0.99967945
 0.9637081  0.9998617  0.9671225  0.9748843  0.99991846 0.5448307
 0.9998908  0.7842743 ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 3 2 3 3 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6]","[7, 2, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 1, 7, 1, 1, 1, 1, 1, 4, 1, 2, 2, 2, 7, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 7, 2, 2, 2, 7, 2, 2, 2, 7, 4, 7, 2, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 4, 2, 4, 4, 4, 4, 4, 4, 4, 0, 7, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 5, 7, 7, 2, 2, 7, 5, 7, 2, 5, 2, 5, 7, 5, 5, 5, 5, 5, 2, 6, 6, 6, 6, 7, 6, 7]",with_other,tweet,0.796875,[],7
0.9,0.71875,0.8363636363636363,85.9375,14.0625,0.0,0,0,128,"[0.6495137  0.996693   0.9995239  0.969271   0.99765044 0.999156
 0.9782322  0.99737525 0.99940765 0.9970797  0.99914265 0.99957997
 0.9987067  0.9946813  0.99984896 0.9314281  0.99913603 0.9772908
 0.99994636 0.5761583  0.9998011  0.99995077 0.99994576 0.99993575
 0.99951935 0.8927962  0.9997197  0.86151505 0.9996376  0.99982363
 0.69901174 0.9997018  0.99963284 0.9997644  0.9998097  0.9997861
 0.9811551  0.99974734 0.9998294  0.9998117  0.9997702  0.9992354
 0.9997445  0.99930537 0.999785   0.99978596 0.9961463  0.9488493
 0.99928916 0.9322399  0.9998282  0.99933016 0.9980842  0.8240212
 0.99942327 0.9995864  0.99919885 0.80970156 0.9997733  0.95372397
 0.9996505  0.7270905  0.99786466 0.84078395 0.98717904 0.9828802
 0.999736   0.99800736 0.99985063 0.99565554 0.9998934  0.9996063
 0.9998253  0.9998821  0.91797614 0.99979585 0.73817897 0.9998067
 0.9217573  0.9998549  0.9810207  0.99902415 0.9999131  0.99990034
 0.9999044  0.9998118  0.99940085 0.60827935 0.99959165 0.99900776
 0.99944216 0.99950755 0.9971194  0.99983454 0.9993567  0.9992575
 0.99959725 0.9997718  0.9997682  0.99983716 0.9999019  0.9993518
 0.97183526 0.8344187  0.60024375 0.9976472  0.9971391  0.84624225
 0.99989796 0.6677214  0.9991924  0.99988604 0.99979454 0.9998306
 0.73722196 0.9985794  0.9998776  0.9993241  0.99972945 0.99967945
 0.9637081  0.9998617  0.9671225  0.9748843  0.99991846 0.5448307
 0.9998908  0.7842743 ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 3 2 3 3 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6]","[7, 2, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 1, 7, 1, 1, 1, 1, 1, 7, 1, 7, 2, 2, 7, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 7, 2, 2, 2, 7, 2, 2, 2, 7, 4, 7, 2, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 4, 2, 4, 4, 4, 4, 4, 4, 4, 0, 7, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 5, 7, 7, 2, 2, 7, 5, 7, 2, 5, 2, 5, 7, 5, 5, 5, 5, 5, 2, 6, 6, 6, 6, 7, 6, 7]",with_other,tweet,0.796875,[],7
0.95,0.6953125,0.8476190476190476,82.03125,17.96875,0.0,0,0,128,"[0.6495137  0.996693   0.9995239  0.969271   0.99765044 0.999156
 0.9782322  0.99737525 0.99940765 0.9970797  0.99914265 0.99957997
 0.9987067  0.9946813  0.99984896 0.9314281  0.99913603 0.9772908
 0.99994636 0.5761583  0.9998011  0.99995077 0.99994576 0.99993575
 0.99951935 0.8927962  0.9997197  0.86151505 0.9996376  0.99982363
 0.69901174 0.9997018  0.99963284 0.9997644  0.9998097  0.9997861
 0.9811551  0.99974734 0.9998294  0.9998117  0.9997702  0.9992354
 0.9997445  0.99930537 0.999785   0.99978596 0.9961463  0.9488493
 0.99928916 0.9322399  0.9998282  0.99933016 0.9980842  0.8240212
 0.99942327 0.9995864  0.99919885 0.80970156 0.9997733  0.95372397
 0.9996505  0.7270905  0.99786466 0.84078395 0.98717904 0.9828802
 0.999736   0.99800736 0.99985063 0.99565554 0.9998934  0.9996063
 0.9998253  0.9998821  0.91797614 0.99979585 0.73817897 0.9998067
 0.9217573  0.9998549  0.9810207  0.99902415 0.9999131  0.99990034
 0.9999044  0.9998118  0.99940085 0.60827935 0.99959165 0.99900776
 0.99944216 0.99950755 0.9971194  0.99983454 0.9993567  0.9992575
 0.99959725 0.9997718  0.9997682  0.99983716 0.9999019  0.9993518
 0.97183526 0.8344187  0.60024375 0.9976472  0.9971391  0.84624225
 0.99989796 0.6677214  0.9991924  0.99988604 0.99979454 0.9998306
 0.73722196 0.9985794  0.9998776  0.9993241  0.99972945 0.99967945
 0.9637081  0.9998617  0.9671225  0.9748843  0.99991846 0.5448307
 0.9998908  0.7842743 ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 3 2 3 3 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6]","[7, 2, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 7, 2, 2, 1, 7, 1, 1, 1, 1, 1, 7, 1, 7, 2, 2, 7, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 7, 2, 7, 2, 2, 2, 7, 2, 2, 2, 7, 2, 2, 2, 7, 4, 7, 2, 1, 4, 4, 4, 4, 4, 4, 4, 4, 7, 4, 7, 4, 7, 4, 4, 4, 4, 4, 4, 4, 0, 7, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 5, 7, 7, 2, 2, 7, 5, 7, 2, 5, 2, 5, 7, 5, 5, 5, 5, 5, 2, 6, 6, 6, 6, 7, 6, 7]",with_other,tweet,0.796875,[],7
0.99,0.6484375,0.8924731182795699,72.65625,27.34375,0.0,0,0,128,"[0.6495137  0.996693   0.9995239  0.969271   0.99765044 0.999156
 0.9782322  0.99737525 0.99940765 0.9970797  0.99914265 0.99957997
 0.9987067  0.9946813  0.99984896 0.9314281  0.99913603 0.9772908
 0.99994636 0.5761583  0.9998011  0.99995077 0.99994576 0.99993575
 0.99951935 0.8927962  0.9997197  0.86151505 0.9996376  0.99982363
 0.69901174 0.9997018  0.99963284 0.9997644  0.9998097  0.9997861
 0.9811551  0.99974734 0.9998294  0.9998117  0.9997702  0.9992354
 0.9997445  0.99930537 0.999785   0.99978596 0.9961463  0.9488493
 0.99928916 0.9322399  0.9998282  0.99933016 0.9980842  0.8240212
 0.99942327 0.9995864  0.99919885 0.80970156 0.9997733  0.95372397
 0.9996505  0.7270905  0.99786466 0.84078395 0.98717904 0.9828802
 0.999736   0.99800736 0.99985063 0.99565554 0.9998934  0.9996063
 0.9998253  0.9998821  0.91797614 0.99979585 0.73817897 0.9998067
 0.9217573  0.9998549  0.9810207  0.99902415 0.9999131  0.99990034
 0.9999044  0.9998118  0.99940085 0.60827935 0.99959165 0.99900776
 0.99944216 0.99950755 0.9971194  0.99983454 0.9993567  0.9992575
 0.99959725 0.9997718  0.9997682  0.99983716 0.9999019  0.9993518
 0.97183526 0.8344187  0.60024375 0.9976472  0.9971391  0.84624225
 0.99989796 0.6677214  0.9991924  0.99988604 0.99979454 0.9998306
 0.73722196 0.9985794  0.9998776  0.9993241  0.99972945 0.99967945
 0.9637081  0.9998617  0.9671225  0.9748843  0.99991846 0.5448307
 0.9998908  0.7842743 ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 3 2 3 3 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6]","[7, 2, 0, 7, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 7, 2, 7, 1, 7, 1, 1, 1, 1, 1, 7, 1, 7, 2, 2, 7, 4, 2, 2, 2, 2, 7, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 7, 2, 7, 2, 2, 2, 7, 2, 2, 2, 7, 2, 7, 2, 7, 4, 7, 7, 7, 4, 4, 4, 4, 4, 4, 4, 4, 7, 4, 7, 4, 7, 4, 7, 4, 4, 4, 4, 4, 0, 7, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 7, 7, 7, 2, 2, 7, 5, 7, 2, 5, 2, 5, 7, 5, 5, 5, 5, 5, 7, 6, 7, 7, 6, 7, 6, 7]",with_other,tweet,0.796875,[],7
