confidence_threshold,overall_accuracy,committed_accuracy,coverage,unknown_percentage,other_capture_rate,other_samples_count,other_predicted_as_unknown,total_samples,max_probabilities,true_labels,predicted_labels,experiment,mode,eval_accuracy,excluded_classes,num_training_classes
0.5,0.736,0.736,100.0,0.0,0.0,3,0,128,"[0.9998934  0.78855807 0.9998872  0.99962056 0.83587897 0.9969553
 0.9740579  0.6723249  0.9997677  0.9994103  0.9998603  0.99975866
 0.9998265  0.9998301  0.9196071  0.9990434  0.9508457  0.99598455
 0.99963963 0.9968912  0.9996997  0.99959356 0.99493563 0.9945785
 0.9991974  0.9994917  0.9992774  0.99961346 0.9997603  0.9935607
 0.9996474  0.99969697 0.9991393  0.99945027 0.9994311  0.9995735
 0.99967754 0.99974364 0.9964964  0.9997534  0.9948996  0.9644795
 0.8489377  0.9988537  0.99726725 0.9994266  0.9977155  0.9984127
 0.99942744 0.91774565 0.5672018  0.9997509  0.98310846 0.9984831
 0.9955462  0.9996915  0.99985945 0.9996153  0.9997116  0.95514774
 0.79314566 0.96078897 0.98885554 0.9376249  0.50092846 0.99849653
 0.99973243 0.9994129  0.99908745 0.9972747  0.99743253 0.9976801
 0.9581234  0.99959344 0.9919533  0.99962676 0.99985945 0.9995516
 0.7144112  0.9987953  0.9984749  0.9852638  0.9980568  0.9956097
 0.9996145  0.99972254 0.9996068  0.99886405 0.9967596  0.5375203
 0.992724   0.987152   0.99721235 0.99962115 0.9996854  0.9986994
 0.9256108  0.9991041  0.9995479  0.99933004 0.9500402  0.996693
 0.9933767  0.7576696  0.9574586  0.99928266 0.9990827  0.6387753
 0.9995357  0.5111956  0.9421078  0.999485   0.94628763 0.9993783
 0.78553075 0.9989184  0.9992681  0.9923159  0.9991672  0.9993967
 0.88525844 0.9998528  0.88506526 0.9218738  0.99974686 0.9998418
 0.9997533  0.975476  ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 6 2 6 6 3 3 3 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5]","[0, 0, 0, 0, 0, 0, 3, 2, 0, 2, 0, 0, 0, 0, 1, 2, 2, 5, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 3, 2, 2, 2, 1, 2, 2, 2, 2, 3, 3, 1, 2, 5, 2, 2, 2, 2, 3, 3, 3, 4, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 0, 3, 2, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 2, 3, 3, 3, 3, 2, 3, 2, 3, 3, 2, 3, 3, 3, 1, 3, 4, 2, 2, 4, 4, 4, 4, 5, 4, 3, 4, 4, 4, 4, 4, 5, 5, 5, 2, 5, 5, 5, 5]",without_other,note,0.7360000014305115,['other'],6
0.6,0.72,0.7377049180327869,97.6,3.125,33.33333333333333,3,1,128,"[0.9998934  0.78855807 0.9998872  0.99962056 0.83587897 0.9969553
 0.9740579  0.6723249  0.9997677  0.9994103  0.9998603  0.99975866
 0.9998265  0.9998301  0.9196071  0.9990434  0.9508457  0.99598455
 0.99963963 0.9968912  0.9996997  0.99959356 0.99493563 0.9945785
 0.9991974  0.9994917  0.9992774  0.99961346 0.9997603  0.9935607
 0.9996474  0.99969697 0.9991393  0.99945027 0.9994311  0.9995735
 0.99967754 0.99974364 0.9964964  0.9997534  0.9948996  0.9644795
 0.8489377  0.9988537  0.99726725 0.9994266  0.9977155  0.9984127
 0.99942744 0.91774565 0.5672018  0.9997509  0.98310846 0.9984831
 0.9955462  0.9996915  0.99985945 0.9996153  0.9997116  0.95514774
 0.79314566 0.96078897 0.98885554 0.9376249  0.50092846 0.99849653
 0.99973243 0.9994129  0.99908745 0.9972747  0.99743253 0.9976801
 0.9581234  0.99959344 0.9919533  0.99962676 0.99985945 0.9995516
 0.7144112  0.9987953  0.9984749  0.9852638  0.9980568  0.9956097
 0.9996145  0.99972254 0.9996068  0.99886405 0.9967596  0.5375203
 0.992724   0.987152   0.99721235 0.99962115 0.9996854  0.9986994
 0.9256108  0.9991041  0.9995479  0.99933004 0.9500402  0.996693
 0.9933767  0.7576696  0.9574586  0.99928266 0.9990827  0.6387753
 0.9995357  0.5111956  0.9421078  0.999485   0.94628763 0.9993783
 0.78553075 0.9989184  0.9992681  0.9923159  0.9991672  0.9993967
 0.88525844 0.9998528  0.88506526 0.9218738  0.99974686 0.9998418
 0.9997533  0.975476  ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 6 2 6 6 3 3 3 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5]","[0, 0, 0, 0, 0, 0, 3, 2, 0, 2, 0, 0, 0, 0, 1, 2, 2, 5, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 3, 2, 2, 2, 1, 2, 2, 7, 2, 3, 3, 1, 2, 5, 2, 2, 2, 2, 3, 3, 3, 7, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 0, 3, 2, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 7, 3, 3, 3, 3, 2, 3, 2, 3, 3, 2, 3, 3, 3, 1, 3, 4, 2, 2, 4, 7, 4, 4, 5, 4, 3, 4, 4, 4, 4, 4, 5, 5, 5, 2, 5, 5, 5, 5]",without_other,note,0.7360000014305115,['other'],6
0.7,0.72,0.75,96.0,4.6875,33.33333333333333,3,1,128,"[0.9998934  0.78855807 0.9998872  0.99962056 0.83587897 0.9969553
 0.9740579  0.6723249  0.9997677  0.9994103  0.9998603  0.99975866
 0.9998265  0.9998301  0.9196071  0.9990434  0.9508457  0.99598455
 0.99963963 0.9968912  0.9996997  0.99959356 0.99493563 0.9945785
 0.9991974  0.9994917  0.9992774  0.99961346 0.9997603  0.9935607
 0.9996474  0.99969697 0.9991393  0.99945027 0.9994311  0.9995735
 0.99967754 0.99974364 0.9964964  0.9997534  0.9948996  0.9644795
 0.8489377  0.9988537  0.99726725 0.9994266  0.9977155  0.9984127
 0.99942744 0.91774565 0.5672018  0.9997509  0.98310846 0.9984831
 0.9955462  0.9996915  0.99985945 0.9996153  0.9997116  0.95514774
 0.79314566 0.96078897 0.98885554 0.9376249  0.50092846 0.99849653
 0.99973243 0.9994129  0.99908745 0.9972747  0.99743253 0.9976801
 0.9581234  0.99959344 0.9919533  0.99962676 0.99985945 0.9995516
 0.7144112  0.9987953  0.9984749  0.9852638  0.9980568  0.9956097
 0.9996145  0.99972254 0.9996068  0.99886405 0.9967596  0.5375203
 0.992724   0.987152   0.99721235 0.99962115 0.9996854  0.9986994
 0.9256108  0.9991041  0.9995479  0.99933004 0.9500402  0.996693
 0.9933767  0.7576696  0.9574586  0.99928266 0.9990827  0.6387753
 0.9995357  0.5111956  0.9421078  0.999485   0.94628763 0.9993783
 0.78553075 0.9989184  0.9992681  0.9923159  0.9991672  0.9993967
 0.88525844 0.9998528  0.88506526 0.9218738  0.99974686 0.9998418
 0.9997533  0.975476  ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 6 2 6 6 3 3 3 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5]","[0, 0, 0, 0, 0, 0, 3, 7, 0, 2, 0, 0, 0, 0, 1, 2, 2, 5, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 3, 2, 2, 2, 1, 2, 2, 7, 2, 3, 3, 1, 2, 5, 2, 2, 2, 2, 3, 3, 3, 7, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 0, 3, 2, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 7, 3, 3, 3, 3, 2, 3, 2, 3, 3, 2, 3, 3, 3, 1, 3, 4, 2, 7, 4, 7, 4, 4, 5, 4, 3, 4, 4, 4, 4, 4, 5, 5, 5, 2, 5, 5, 5, 5]",without_other,note,0.7360000014305115,['other'],6
0.8,0.704,0.7652173913043478,92.0,8.59375,33.33333333333333,3,1,128,"[0.9998934  0.78855807 0.9998872  0.99962056 0.83587897 0.9969553
 0.9740579  0.6723249  0.9997677  0.9994103  0.9998603  0.99975866
 0.9998265  0.9998301  0.9196071  0.9990434  0.9508457  0.99598455
 0.99963963 0.9968912  0.9996997  0.99959356 0.99493563 0.9945785
 0.9991974  0.9994917  0.9992774  0.99961346 0.9997603  0.9935607
 0.9996474  0.99969697 0.9991393  0.99945027 0.9994311  0.9995735
 0.99967754 0.99974364 0.9964964  0.9997534  0.9948996  0.9644795
 0.8489377  0.9988537  0.99726725 0.9994266  0.9977155  0.9984127
 0.99942744 0.91774565 0.5672018  0.9997509  0.98310846 0.9984831
 0.9955462  0.9996915  0.99985945 0.9996153  0.9997116  0.95514774
 0.79314566 0.96078897 0.98885554 0.9376249  0.50092846 0.99849653
 0.99973243 0.9994129  0.99908745 0.9972747  0.99743253 0.9976801
 0.9581234  0.99959344 0.9919533  0.99962676 0.99985945 0.9995516
 0.7144112  0.9987953  0.9984749  0.9852638  0.9980568  0.9956097
 0.9996145  0.99972254 0.9996068  0.99886405 0.9967596  0.5375203
 0.992724   0.987152   0.99721235 0.99962115 0.9996854  0.9986994
 0.9256108  0.9991041  0.9995479  0.99933004 0.9500402  0.996693
 0.9933767  0.7576696  0.9574586  0.99928266 0.9990827  0.6387753
 0.9995357  0.5111956  0.9421078  0.999485   0.94628763 0.9993783
 0.78553075 0.9989184  0.9992681  0.9923159  0.9991672  0.9993967
 0.88525844 0.9998528  0.88506526 0.9218738  0.99974686 0.9998418
 0.9997533  0.975476  ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 6 2 6 6 3 3 3 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5]","[0, 7, 0, 0, 0, 0, 3, 7, 0, 2, 0, 0, 0, 0, 1, 2, 2, 5, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 3, 2, 2, 2, 1, 2, 2, 7, 2, 3, 3, 1, 2, 5, 2, 2, 2, 7, 3, 3, 3, 7, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 0, 3, 7, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 7, 3, 3, 3, 3, 2, 3, 2, 3, 3, 2, 3, 3, 3, 7, 3, 4, 2, 7, 4, 7, 4, 4, 5, 4, 7, 4, 4, 4, 4, 4, 5, 5, 5, 2, 5, 5, 5, 5]",without_other,note,0.7360000014305115,['other'],6
0.85,0.688,0.7610619469026548,90.4,10.15625,33.33333333333333,3,1,128,"[0.9998934  0.78855807 0.9998872  0.99962056 0.83587897 0.9969553
 0.9740579  0.6723249  0.9997677  0.9994103  0.9998603  0.99975866
 0.9998265  0.9998301  0.9196071  0.9990434  0.9508457  0.99598455
 0.99963963 0.9968912  0.9996997  0.99959356 0.99493563 0.9945785
 0.9991974  0.9994917  0.9992774  0.99961346 0.9997603  0.9935607
 0.9996474  0.99969697 0.9991393  0.99945027 0.9994311  0.9995735
 0.99967754 0.99974364 0.9964964  0.9997534  0.9948996  0.9644795
 0.8489377  0.9988537  0.99726725 0.9994266  0.9977155  0.9984127
 0.99942744 0.91774565 0.5672018  0.9997509  0.98310846 0.9984831
 0.9955462  0.9996915  0.99985945 0.9996153  0.9997116  0.95514774
 0.79314566 0.96078897 0.98885554 0.9376249  0.50092846 0.99849653
 0.99973243 0.9994129  0.99908745 0.9972747  0.99743253 0.9976801
 0.9581234  0.99959344 0.9919533  0.99962676 0.99985945 0.9995516
 0.7144112  0.9987953  0.9984749  0.9852638  0.9980568  0.9956097
 0.9996145  0.99972254 0.9996068  0.99886405 0.9967596  0.5375203
 0.992724   0.987152   0.99721235 0.99962115 0.9996854  0.9986994
 0.9256108  0.9991041  0.9995479  0.99933004 0.9500402  0.996693
 0.9933767  0.7576696  0.9574586  0.99928266 0.9990827  0.6387753
 0.9995357  0.5111956  0.9421078  0.999485   0.94628763 0.9993783
 0.78553075 0.9989184  0.9992681  0.9923159  0.9991672  0.9993967
 0.88525844 0.9998528  0.88506526 0.9218738  0.99974686 0.9998418
 0.9997533  0.975476  ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 6 2 6 6 3 3 3 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5]","[0, 7, 0, 0, 7, 0, 3, 7, 0, 2, 0, 0, 0, 0, 1, 2, 2, 5, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 7, 3, 2, 2, 2, 1, 2, 2, 7, 2, 3, 3, 1, 2, 5, 2, 2, 2, 7, 3, 3, 3, 7, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 0, 3, 7, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 7, 3, 3, 3, 3, 2, 3, 2, 3, 3, 2, 3, 3, 3, 7, 3, 4, 2, 7, 4, 7, 4, 4, 5, 4, 7, 4, 4, 4, 4, 4, 5, 5, 5, 2, 5, 5, 5, 5]",without_other,note,0.7360000014305115,['other'],6
0.9,0.672,0.7567567567567568,88.8,11.71875,33.33333333333333,3,1,128,"[0.9998934  0.78855807 0.9998872  0.99962056 0.83587897 0.9969553
 0.9740579  0.6723249  0.9997677  0.9994103  0.9998603  0.99975866
 0.9998265  0.9998301  0.9196071  0.9990434  0.9508457  0.99598455
 0.99963963 0.9968912  0.9996997  0.99959356 0.99493563 0.9945785
 0.9991974  0.9994917  0.9992774  0.99961346 0.9997603  0.9935607
 0.9996474  0.99969697 0.9991393  0.99945027 0.9994311  0.9995735
 0.99967754 0.99974364 0.9964964  0.9997534  0.9948996  0.9644795
 0.8489377  0.9988537  0.99726725 0.9994266  0.9977155  0.9984127
 0.99942744 0.91774565 0.5672018  0.9997509  0.98310846 0.9984831
 0.9955462  0.9996915  0.99985945 0.9996153  0.9997116  0.95514774
 0.79314566 0.96078897 0.98885554 0.9376249  0.50092846 0.99849653
 0.99973243 0.9994129  0.99908745 0.9972747  0.99743253 0.9976801
 0.9581234  0.99959344 0.9919533  0.99962676 0.99985945 0.9995516
 0.7144112  0.9987953  0.9984749  0.9852638  0.9980568  0.9956097
 0.9996145  0.99972254 0.9996068  0.99886405 0.9967596  0.5375203
 0.992724   0.987152   0.99721235 0.99962115 0.9996854  0.9986994
 0.9256108  0.9991041  0.9995479  0.99933004 0.9500402  0.996693
 0.9933767  0.7576696  0.9574586  0.99928266 0.9990827  0.6387753
 0.9995357  0.5111956  0.9421078  0.999485   0.94628763 0.9993783
 0.78553075 0.9989184  0.9992681  0.9923159  0.9991672  0.9993967
 0.88525844 0.9998528  0.88506526 0.9218738  0.99974686 0.9998418
 0.9997533  0.975476  ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 6 2 6 6 3 3 3 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5]","[0, 7, 0, 0, 7, 0, 3, 7, 0, 2, 0, 0, 0, 0, 1, 2, 2, 5, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 7, 3, 2, 2, 2, 1, 2, 2, 7, 2, 3, 3, 1, 2, 5, 2, 2, 2, 7, 3, 3, 3, 7, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 0, 3, 7, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 7, 3, 3, 3, 3, 2, 3, 2, 3, 3, 2, 3, 3, 3, 7, 3, 4, 2, 7, 4, 7, 4, 4, 5, 4, 7, 4, 4, 4, 4, 4, 7, 5, 7, 2, 5, 5, 5, 5]",without_other,note,0.7360000014305115,['other'],6
0.95,0.648,0.7788461538461539,83.2,17.1875,33.33333333333333,3,1,128,"[0.9998934  0.78855807 0.9998872  0.99962056 0.83587897 0.9969553
 0.9740579  0.6723249  0.9997677  0.9994103  0.9998603  0.99975866
 0.9998265  0.9998301  0.9196071  0.9990434  0.9508457  0.99598455
 0.99963963 0.9968912  0.9996997  0.99959356 0.99493563 0.9945785
 0.9991974  0.9994917  0.9992774  0.99961346 0.9997603  0.9935607
 0.9996474  0.99969697 0.9991393  0.99945027 0.9994311  0.9995735
 0.99967754 0.99974364 0.9964964  0.9997534  0.9948996  0.9644795
 0.8489377  0.9988537  0.99726725 0.9994266  0.9977155  0.9984127
 0.99942744 0.91774565 0.5672018  0.9997509  0.98310846 0.9984831
 0.9955462  0.9996915  0.99985945 0.9996153  0.9997116  0.95514774
 0.79314566 0.96078897 0.98885554 0.9376249  0.50092846 0.99849653
 0.99973243 0.9994129  0.99908745 0.9972747  0.99743253 0.9976801
 0.9581234  0.99959344 0.9919533  0.99962676 0.99985945 0.9995516
 0.7144112  0.9987953  0.9984749  0.9852638  0.9980568  0.9956097
 0.9996145  0.99972254 0.9996068  0.99886405 0.9967596  0.5375203
 0.992724   0.987152   0.99721235 0.99962115 0.9996854  0.9986994
 0.9256108  0.9991041  0.9995479  0.99933004 0.9500402  0.996693
 0.9933767  0.7576696  0.9574586  0.99928266 0.9990827  0.6387753
 0.9995357  0.5111956  0.9421078  0.999485   0.94628763 0.9993783
 0.78553075 0.9989184  0.9992681  0.9923159  0.9991672  0.9993967
 0.88525844 0.9998528  0.88506526 0.9218738  0.99974686 0.9998418
 0.9997533  0.975476  ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 6 2 6 6 3 3 3 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5]","[0, 7, 0, 0, 7, 0, 3, 7, 0, 2, 0, 0, 0, 0, 7, 2, 2, 5, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 7, 3, 2, 2, 2, 1, 2, 7, 7, 2, 3, 3, 1, 2, 5, 2, 2, 2, 7, 3, 3, 7, 7, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 0, 3, 7, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 7, 3, 3, 3, 3, 2, 3, 7, 3, 3, 2, 3, 3, 3, 7, 3, 4, 2, 7, 4, 7, 7, 4, 7, 4, 7, 4, 4, 4, 4, 4, 7, 5, 7, 7, 5, 5, 5, 5]",without_other,note,0.7360000014305115,['other'],6
0.99,0.592,0.8043478260869565,73.6,27.34375,66.66666666666666,3,2,128,"[0.9998934  0.78855807 0.9998872  0.99962056 0.83587897 0.9969553
 0.9740579  0.6723249  0.9997677  0.9994103  0.9998603  0.99975866
 0.9998265  0.9998301  0.9196071  0.9990434  0.9508457  0.99598455
 0.99963963 0.9968912  0.9996997  0.99959356 0.99493563 0.9945785
 0.9991974  0.9994917  0.9992774  0.99961346 0.9997603  0.9935607
 0.9996474  0.99969697 0.9991393  0.99945027 0.9994311  0.9995735
 0.99967754 0.99974364 0.9964964  0.9997534  0.9948996  0.9644795
 0.8489377  0.9988537  0.99726725 0.9994266  0.9977155  0.9984127
 0.99942744 0.91774565 0.5672018  0.9997509  0.98310846 0.9984831
 0.9955462  0.9996915  0.99985945 0.9996153  0.9997116  0.95514774
 0.79314566 0.96078897 0.98885554 0.9376249  0.50092846 0.99849653
 0.99973243 0.9994129  0.99908745 0.9972747  0.99743253 0.9976801
 0.9581234  0.99959344 0.9919533  0.99962676 0.99985945 0.9995516
 0.7144112  0.9987953  0.9984749  0.9852638  0.9980568  0.9956097
 0.9996145  0.99972254 0.9996068  0.99886405 0.9967596  0.5375203
 0.992724   0.987152   0.99721235 0.99962115 0.9996854  0.9986994
 0.9256108  0.9991041  0.9995479  0.99933004 0.9500402  0.996693
 0.9933767  0.7576696  0.9574586  0.99928266 0.9990827  0.6387753
 0.9995357  0.5111956  0.9421078  0.999485   0.94628763 0.9993783
 0.78553075 0.9989184  0.9992681  0.9923159  0.9991672  0.9993967
 0.88525844 0.9998528  0.88506526 0.9218738  0.99974686 0.9998418
 0.9997533  0.975476  ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 6 2 6 6 3 3 3 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5]","[0, 7, 0, 0, 7, 0, 7, 7, 0, 2, 0, 0, 0, 0, 7, 2, 7, 5, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 7, 7, 3, 2, 2, 2, 1, 2, 7, 7, 2, 7, 3, 1, 2, 5, 2, 2, 7, 7, 7, 7, 7, 7, 2, 2, 3, 3, 3, 3, 3, 7, 3, 2, 3, 0, 3, 7, 3, 3, 7, 3, 3, 3, 3, 1, 3, 3, 7, 3, 7, 3, 3, 2, 3, 7, 3, 3, 2, 7, 3, 3, 7, 7, 4, 2, 7, 4, 7, 7, 4, 7, 4, 7, 4, 4, 4, 4, 4, 7, 5, 7, 7, 5, 5, 5, 7]",without_other,note,0.7360000014305115,['other'],6
