confidence_threshold,overall_accuracy,committed_accuracy,coverage,unknown_percentage,other_capture_rate,other_samples_count,other_predicted_as_unknown,total_samples,max_probabilities,true_labels,predicted_labels,experiment,mode,eval_accuracy,excluded_classes,num_training_classes
0.5,0.8515625,0.8515625,100.0,0.0,0.0,0,0,128,"[0.9998883  0.99862075 0.9998672  0.9996697  0.98596954 0.9981998
 0.7883095  0.9933915  0.99318826 0.9996124  0.9997744  0.9998534
 0.9997433  0.9990539  0.9996182  0.99981123 0.9991308  0.65713775
 0.999775   0.99984205 0.99982184 0.99977416 0.80822384 0.9997688
 0.99971265 0.99652135 0.99984956 0.9998265  0.9998605  0.99968374
 0.9954177  0.8899595  0.9997434  0.9998056  0.9997906  0.9997731
 0.99979657 0.8375318  0.9998764  0.99986386 0.9958503  0.8681633
 0.90664726 0.9998306  0.9996637  0.99987066 0.6474125  0.9997186
 0.9997627  0.9995048  0.99986684 0.9998355  0.99968195 0.98820156
 0.57457966 0.9997782  0.99983704 0.9997857  0.99982125 0.99974865
 0.9998379  0.61589843 0.71936494 0.9994978  0.9433497  0.99902654
 0.9963898  0.9999114  0.99990773 0.99919206 0.99988353 0.9998229
 0.9998981  0.9999169  0.9994266  0.99992895 0.82727695 0.9998939
 0.99691904 0.9998636  0.9997341  0.9998621  0.99990904 0.9998443
 0.9999167  0.99991786 0.9599283  0.98886746 0.9996929  0.999824
 0.9998559  0.9997713  0.9996871  0.999899   0.9996655  0.9994579
 0.9945452  0.99962664 0.99990106 0.9998865  0.9999149  0.9998728
 0.99839526 0.99135625 0.9995012  0.9998098  0.99715745 0.89853925
 0.9998654  0.998389   0.99931705 0.9998722  0.9996112  0.9998708
 0.9790922  0.9998161  0.9998516  0.99954957 0.999806   0.9998833
 0.89855194 0.9998951  0.93808496 0.99984837 0.99987626 0.99988496
 0.99986494 0.8963688 ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 3 2 3 3 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6]","[0, 2, 0, 4, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 4, 4, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 5, 2, 2, 2, 2, 4, 2, 6, 2, 2, 2, 2, 4, 4, 3, 3, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 2, 6, 6, 6, 6, 6, 6, 6]",with_other,combined,0.8515625,[],7
0.6,0.8515625,0.8582677165354331,99.21875,0.78125,0.0,0,0,128,"[0.9998883  0.99862075 0.9998672  0.9996697  0.98596954 0.9981998
 0.7883095  0.9933915  0.99318826 0.9996124  0.9997744  0.9998534
 0.9997433  0.9990539  0.9996182  0.99981123 0.9991308  0.65713775
 0.999775   0.99984205 0.99982184 0.99977416 0.80822384 0.9997688
 0.99971265 0.99652135 0.99984956 0.9998265  0.9998605  0.99968374
 0.9954177  0.8899595  0.9997434  0.9998056  0.9997906  0.9997731
 0.99979657 0.8375318  0.9998764  0.99986386 0.9958503  0.8681633
 0.90664726 0.9998306  0.9996637  0.99987066 0.6474125  0.9997186
 0.9997627  0.9995048  0.99986684 0.9998355  0.99968195 0.98820156
 0.57457966 0.9997782  0.99983704 0.9997857  0.99982125 0.99974865
 0.9998379  0.61589843 0.71936494 0.9994978  0.9433497  0.99902654
 0.9963898  0.9999114  0.99990773 0.99919206 0.99988353 0.9998229
 0.9998981  0.9999169  0.9994266  0.99992895 0.82727695 0.9998939
 0.99691904 0.9998636  0.9997341  0.9998621  0.99990904 0.9998443
 0.9999167  0.99991786 0.9599283  0.98886746 0.9996929  0.999824
 0.9998559  0.9997713  0.9996871  0.999899   0.9996655  0.9994579
 0.9945452  0.99962664 0.99990106 0.9998865  0.9999149  0.9998728
 0.99839526 0.99135625 0.9995012  0.9998098  0.99715745 0.89853925
 0.9998654  0.998389   0.99931705 0.9998722  0.9996112  0.9998708
 0.9790922  0.9998161  0.9998516  0.99954957 0.999806   0.9998833
 0.89855194 0.9998951  0.93808496 0.99984837 0.99987626 0.99988496
 0.99986494 0.8963688 ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 3 2 3 3 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6]","[0, 2, 0, 4, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 4, 4, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 5, 2, 2, 2, 2, 7, 2, 6, 2, 2, 2, 2, 4, 4, 3, 3, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 2, 6, 6, 6, 6, 6, 6, 6]",with_other,combined,0.8515625,[],7
0.7,0.828125,0.8548387096774194,96.875,3.125,0.0,0,0,128,"[0.9998883  0.99862075 0.9998672  0.9996697  0.98596954 0.9981998
 0.7883095  0.9933915  0.99318826 0.9996124  0.9997744  0.9998534
 0.9997433  0.9990539  0.9996182  0.99981123 0.9991308  0.65713775
 0.999775   0.99984205 0.99982184 0.99977416 0.80822384 0.9997688
 0.99971265 0.99652135 0.99984956 0.9998265  0.9998605  0.99968374
 0.9954177  0.8899595  0.9997434  0.9998056  0.9997906  0.9997731
 0.99979657 0.8375318  0.9998764  0.99986386 0.9958503  0.8681633
 0.90664726 0.9998306  0.9996637  0.99987066 0.6474125  0.9997186
 0.9997627  0.9995048  0.99986684 0.9998355  0.99968195 0.98820156
 0.57457966 0.9997782  0.99983704 0.9997857  0.99982125 0.99974865
 0.9998379  0.61589843 0.71936494 0.9994978  0.9433497  0.99902654
 0.9963898  0.9999114  0.99990773 0.99919206 0.99988353 0.9998229
 0.9998981  0.9999169  0.9994266  0.99992895 0.82727695 0.9998939
 0.99691904 0.9998636  0.9997341  0.9998621  0.99990904 0.9998443
 0.9999167  0.99991786 0.9599283  0.98886746 0.9996929  0.999824
 0.9998559  0.9997713  0.9996871  0.999899   0.9996655  0.9994579
 0.9945452  0.99962664 0.99990106 0.9998865  0.9999149  0.9998728
 0.99839526 0.99135625 0.9995012  0.9998098  0.99715745 0.89853925
 0.9998654  0.998389   0.99931705 0.9998722  0.9996112  0.9998708
 0.9790922  0.9998161  0.9998516  0.99954957 0.999806   0.9998833
 0.89855194 0.9998951  0.93808496 0.99984837 0.99987626 0.99988496
 0.99986494 0.8963688 ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 3 2 3 3 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6]","[0, 2, 0, 4, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 1, 2, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 4, 4, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 7, 1, 2, 5, 2, 2, 2, 2, 7, 2, 6, 2, 2, 2, 2, 7, 4, 3, 3, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 2, 6, 6, 6, 6, 6, 6, 6]",with_other,combined,0.8515625,[],7
0.8,0.828125,0.8688524590163934,95.3125,4.6875,0.0,0,0,128,"[0.9998883  0.99862075 0.9998672  0.9996697  0.98596954 0.9981998
 0.7883095  0.9933915  0.99318826 0.9996124  0.9997744  0.9998534
 0.9997433  0.9990539  0.9996182  0.99981123 0.9991308  0.65713775
 0.999775   0.99984205 0.99982184 0.99977416 0.80822384 0.9997688
 0.99971265 0.99652135 0.99984956 0.9998265  0.9998605  0.99968374
 0.9954177  0.8899595  0.9997434  0.9998056  0.9997906  0.9997731
 0.99979657 0.8375318  0.9998764  0.99986386 0.9958503  0.8681633
 0.90664726 0.9998306  0.9996637  0.99987066 0.6474125  0.9997186
 0.9997627  0.9995048  0.99986684 0.9998355  0.99968195 0.98820156
 0.57457966 0.9997782  0.99983704 0.9997857  0.99982125 0.99974865
 0.9998379  0.61589843 0.71936494 0.9994978  0.9433497  0.99902654
 0.9963898  0.9999114  0.99990773 0.99919206 0.99988353 0.9998229
 0.9998981  0.9999169  0.9994266  0.99992895 0.82727695 0.9998939
 0.99691904 0.9998636  0.9997341  0.9998621  0.99990904 0.9998443
 0.9999167  0.99991786 0.9599283  0.98886746 0.9996929  0.999824
 0.9998559  0.9997713  0.9996871  0.999899   0.9996655  0.9994579
 0.9945452  0.99962664 0.99990106 0.9998865  0.9999149  0.9998728
 0.99839526 0.99135625 0.9995012  0.9998098  0.99715745 0.89853925
 0.9998654  0.998389   0.99931705 0.9998722  0.9996112  0.9998708
 0.9790922  0.9998161  0.9998516  0.99954957 0.999806   0.9998833
 0.89855194 0.9998951  0.93808496 0.99984837 0.99987626 0.99988496
 0.99986494 0.8963688 ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 3 2 3 3 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6]","[0, 2, 0, 4, 0, 0, 7, 4, 0, 0, 0, 0, 0, 0, 1, 2, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 4, 4, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 7, 1, 2, 5, 2, 2, 2, 2, 7, 2, 6, 2, 2, 2, 2, 7, 7, 3, 3, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 2, 6, 6, 6, 6, 6, 6, 6]",with_other,combined,0.8515625,[],7
0.85,0.8125,0.8739495798319328,92.96875,7.03125,0.0,0,0,128,"[0.9998883  0.99862075 0.9998672  0.9996697  0.98596954 0.9981998
 0.7883095  0.9933915  0.99318826 0.9996124  0.9997744  0.9998534
 0.9997433  0.9990539  0.9996182  0.99981123 0.9991308  0.65713775
 0.999775   0.99984205 0.99982184 0.99977416 0.80822384 0.9997688
 0.99971265 0.99652135 0.99984956 0.9998265  0.9998605  0.99968374
 0.9954177  0.8899595  0.9997434  0.9998056  0.9997906  0.9997731
 0.99979657 0.8375318  0.9998764  0.99986386 0.9958503  0.8681633
 0.90664726 0.9998306  0.9996637  0.99987066 0.6474125  0.9997186
 0.9997627  0.9995048  0.99986684 0.9998355  0.99968195 0.98820156
 0.57457966 0.9997782  0.99983704 0.9997857  0.99982125 0.99974865
 0.9998379  0.61589843 0.71936494 0.9994978  0.9433497  0.99902654
 0.9963898  0.9999114  0.99990773 0.99919206 0.99988353 0.9998229
 0.9998981  0.9999169  0.9994266  0.99992895 0.82727695 0.9998939
 0.99691904 0.9998636  0.9997341  0.9998621  0.99990904 0.9998443
 0.9999167  0.99991786 0.9599283  0.98886746 0.9996929  0.999824
 0.9998559  0.9997713  0.9996871  0.999899   0.9996655  0.9994579
 0.9945452  0.99962664 0.99990106 0.9998865  0.9999149  0.9998728
 0.99839526 0.99135625 0.9995012  0.9998098  0.99715745 0.89853925
 0.9998654  0.998389   0.99931705 0.9998722  0.9996112  0.9998708
 0.9790922  0.9998161  0.9998516  0.99954957 0.999806   0.9998833
 0.89855194 0.9998951  0.93808496 0.99984837 0.99987626 0.99988496
 0.99986494 0.8963688 ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 3 2 3 3 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6]","[0, 2, 0, 4, 0, 0, 7, 4, 0, 0, 0, 0, 0, 0, 1, 2, 1, 7, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 2, 2, 4, 4, 2, 2, 2, 2, 2, 7, 2, 2, 2, 2, 2, 2, 2, 2, 7, 1, 2, 5, 2, 2, 2, 2, 7, 2, 6, 2, 2, 2, 2, 7, 7, 3, 3, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 2, 6, 6, 6, 6, 6, 6, 6]",with_other,combined,0.8515625,[],7
0.9,0.7890625,0.8859649122807017,89.0625,10.9375,0.0,0,0,128,"[0.9998883  0.99862075 0.9998672  0.9996697  0.98596954 0.9981998
 0.7883095  0.9933915  0.99318826 0.9996124  0.9997744  0.9998534
 0.9997433  0.9990539  0.9996182  0.99981123 0.9991308  0.65713775
 0.999775   0.99984205 0.99982184 0.99977416 0.80822384 0.9997688
 0.99971265 0.99652135 0.99984956 0.9998265  0.9998605  0.99968374
 0.9954177  0.8899595  0.9997434  0.9998056  0.9997906  0.9997731
 0.99979657 0.8375318  0.9998764  0.99986386 0.9958503  0.8681633
 0.90664726 0.9998306  0.9996637  0.99987066 0.6474125  0.9997186
 0.9997627  0.9995048  0.99986684 0.9998355  0.99968195 0.98820156
 0.57457966 0.9997782  0.99983704 0.9997857  0.99982125 0.99974865
 0.9998379  0.61589843 0.71936494 0.9994978  0.9433497  0.99902654
 0.9963898  0.9999114  0.99990773 0.99919206 0.99988353 0.9998229
 0.9998981  0.9999169  0.9994266  0.99992895 0.82727695 0.9998939
 0.99691904 0.9998636  0.9997341  0.9998621  0.99990904 0.9998443
 0.9999167  0.99991786 0.9599283  0.98886746 0.9996929  0.999824
 0.9998559  0.9997713  0.9996871  0.999899   0.9996655  0.9994579
 0.9945452  0.99962664 0.99990106 0.9998865  0.9999149  0.9998728
 0.99839526 0.99135625 0.9995012  0.9998098  0.99715745 0.89853925
 0.9998654  0.998389   0.99931705 0.9998722  0.9996112  0.9998708
 0.9790922  0.9998161  0.9998516  0.99954957 0.999806   0.9998833
 0.89855194 0.9998951  0.93808496 0.99984837 0.99987626 0.99988496
 0.99986494 0.8963688 ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 3 2 3 3 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6]","[0, 2, 0, 4, 0, 0, 7, 4, 0, 0, 0, 0, 0, 0, 1, 2, 1, 7, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 2, 2, 4, 7, 2, 2, 2, 2, 2, 7, 2, 2, 2, 7, 2, 2, 2, 2, 7, 1, 2, 5, 2, 2, 2, 2, 7, 2, 6, 2, 2, 2, 2, 7, 7, 3, 3, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 2, 7, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 7, 6, 6, 6, 6, 6, 6, 7]",with_other,combined,0.8515625,[],7
0.95,0.765625,0.8828828828828829,86.71875,13.28125,0.0,0,0,128,"[0.9998883  0.99862075 0.9998672  0.9996697  0.98596954 0.9981998
 0.7883095  0.9933915  0.99318826 0.9996124  0.9997744  0.9998534
 0.9997433  0.9990539  0.9996182  0.99981123 0.9991308  0.65713775
 0.999775   0.99984205 0.99982184 0.99977416 0.80822384 0.9997688
 0.99971265 0.99652135 0.99984956 0.9998265  0.9998605  0.99968374
 0.9954177  0.8899595  0.9997434  0.9998056  0.9997906  0.9997731
 0.99979657 0.8375318  0.9998764  0.99986386 0.9958503  0.8681633
 0.90664726 0.9998306  0.9996637  0.99987066 0.6474125  0.9997186
 0.9997627  0.9995048  0.99986684 0.9998355  0.99968195 0.98820156
 0.57457966 0.9997782  0.99983704 0.9997857  0.99982125 0.99974865
 0.9998379  0.61589843 0.71936494 0.9994978  0.9433497  0.99902654
 0.9963898  0.9999114  0.99990773 0.99919206 0.99988353 0.9998229
 0.9998981  0.9999169  0.9994266  0.99992895 0.82727695 0.9998939
 0.99691904 0.9998636  0.9997341  0.9998621  0.99990904 0.9998443
 0.9999167  0.99991786 0.9599283  0.98886746 0.9996929  0.999824
 0.9998559  0.9997713  0.9996871  0.999899   0.9996655  0.9994579
 0.9945452  0.99962664 0.99990106 0.9998865  0.9999149  0.9998728
 0.99839526 0.99135625 0.9995012  0.9998098  0.99715745 0.89853925
 0.9998654  0.998389   0.99931705 0.9998722  0.9996112  0.9998708
 0.9790922  0.9998161  0.9998516  0.99954957 0.999806   0.9998833
 0.89855194 0.9998951  0.93808496 0.99984837 0.99987626 0.99988496
 0.99986494 0.8963688 ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 3 2 3 3 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6]","[0, 2, 0, 4, 0, 0, 7, 4, 0, 0, 0, 0, 0, 0, 1, 2, 1, 7, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 2, 2, 4, 7, 2, 2, 2, 2, 2, 7, 2, 2, 2, 7, 7, 2, 2, 2, 7, 1, 2, 5, 2, 2, 2, 2, 7, 2, 6, 2, 2, 2, 2, 7, 7, 3, 7, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 2, 7, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 7, 6, 7, 6, 6, 6, 6, 7]",with_other,combined,0.8515625,[],7
0.99,0.734375,0.8867924528301887,82.8125,17.1875,0.0,0,0,128,"[0.9998883  0.99862075 0.9998672  0.9996697  0.98596954 0.9981998
 0.7883095  0.9933915  0.99318826 0.9996124  0.9997744  0.9998534
 0.9997433  0.9990539  0.9996182  0.99981123 0.9991308  0.65713775
 0.999775   0.99984205 0.99982184 0.99977416 0.80822384 0.9997688
 0.99971265 0.99652135 0.99984956 0.9998265  0.9998605  0.99968374
 0.9954177  0.8899595  0.9997434  0.9998056  0.9997906  0.9997731
 0.99979657 0.8375318  0.9998764  0.99986386 0.9958503  0.8681633
 0.90664726 0.9998306  0.9996637  0.99987066 0.6474125  0.9997186
 0.9997627  0.9995048  0.99986684 0.9998355  0.99968195 0.98820156
 0.57457966 0.9997782  0.99983704 0.9997857  0.99982125 0.99974865
 0.9998379  0.61589843 0.71936494 0.9994978  0.9433497  0.99902654
 0.9963898  0.9999114  0.99990773 0.99919206 0.99988353 0.9998229
 0.9998981  0.9999169  0.9994266  0.99992895 0.82727695 0.9998939
 0.99691904 0.9998636  0.9997341  0.9998621  0.99990904 0.9998443
 0.9999167  0.99991786 0.9599283  0.98886746 0.9996929  0.999824
 0.9998559  0.9997713  0.9996871  0.999899   0.9996655  0.9994579
 0.9945452  0.99962664 0.99990106 0.9998865  0.9999149  0.9998728
 0.99839526 0.99135625 0.9995012  0.9998098  0.99715745 0.89853925
 0.9998654  0.998389   0.99931705 0.9998722  0.9996112  0.9998708
 0.9790922  0.9998161  0.9998516  0.99954957 0.999806   0.9998833
 0.89855194 0.9998951  0.93808496 0.99984837 0.99987626 0.99988496
 0.99986494 0.8963688 ]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 3 2 3 3 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6]","[0, 2, 0, 4, 7, 0, 7, 4, 0, 0, 0, 0, 0, 0, 1, 2, 1, 7, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 2, 2, 4, 7, 2, 2, 2, 2, 2, 7, 2, 2, 2, 7, 7, 2, 2, 2, 7, 1, 2, 5, 2, 2, 2, 7, 7, 2, 6, 2, 2, 2, 2, 7, 7, 3, 7, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 2, 7, 5, 5, 5, 5, 2, 5, 7, 5, 5, 5, 5, 5, 7, 6, 7, 6, 6, 6, 6, 7]",with_other,combined,0.8515625,[],7
